▶  의료진 소개 (Medical Staff),
🇰🇷  한국어 (Korean),🇺🇸  English
기본 정보,Basic Information
장 용 준 대표원장,"Jang, Yongjun  M.D., Ph.D. "
재활의학과 전문의 · 의학박사,"Board-Certified Specialist in Physical Medicine & Rehabilitation
Doctor of Medicine (Ph.D.)"
가톨릭대학교 재활의학교실 외래조교수,"Adjunct Assistant Professor, Department of PMR, The Catholic University of Korea"
학력 (Education),Education
가톨릭대학교 의과대학 졸업,"Graduate of College of Medicine, The Catholic University of Korea"
가톨릭대학교 의과대학 재활의학 석·박사 통합과정 졸업,"Combined M.S.-Ph.D. Program in Physical Medicine and Rehabilitation
College of Medicine, The Catholic University of Korea"
경력 (Clinical & Academic Experience),Clinical & Academic Experience
가톨릭중앙의료원 수련의,"Intern, St. Mary's Hospital, The Catholic Medical Center"
가톨릭중앙의료원 재활의학과 전공의,"Resident, St. Mary's Hospital, The Catholic Medical Center"
가톨릭중앙의료원 재활의학과 지도전문의,"Attending Physician & Clinical Supervisor, St. Mary's Hospital, The Catholic Medical Center"
학회활동 (Society Memberships),Society Memberships
대한의사협회 정회원,Member of Korean Medical Association (KMA)
대한재활의학회 정회원,Member of Korean Academy of Rehabilitation Medicine (KARM)
American Congress of Rehabilitation Medicine Member,Member of American Congress of Rehabilitation Medicine (ACRM)
American Academy of Manipulative Therapy Member,Member of American Academy of Manipulative Therapy (AAMT)
European Society of Physical and Rehabilitation Medicine Member,Member of European Society of Physical and Rehabilitation Medicine (ESPRM)